WKT,id,codigo,nombre,ubicacion,tipo,horario,anclajes_t
"POINT (-58.36571682173 -34.6275365630589)","170","196",196 - HOSPITAL ARGERICH,750 Pi Y Margall & Necochea,AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"20"
"POINT (-58.4233949534182 -34.6134498597511)","171","197",197 - Quintino Bocayuva,Quintino Bocayuva y Don Bosco,AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"20"
"POINT (-58.4160115052234 -34.6222611969433)","172","199",199 - ESTADOS UNIDOS Y BOEDO,3568 Estados Unidos & Boedo Av.,AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"20"
"POINT (-58.403865450383 -34.5883285824775)","173","200",200 - AUSTRIA Y FRENCH,2080 Austria,AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"20"
"POINT (-58.3905984584925 -34.5837493428954)","175","1",001 - FACULTAD DE DERECHO,Av. Pres. Figueroa Alcorta 2120,AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"30"
"POINT (-58.3562543312869 -34.6287585370652)","176","108",108 - Usina del Arte,"Caffarena, Agustin R. & Don Pedro De Mendoza Av.",AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"24"
"POINT (-58.427816250575 -34.6149488722851)","177","167",167 - Hipólito Yrigoyen,"4300 Yrigoyen, Hipolito Av.",AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"24"
"POINT (-58.4280140323528 -34.5833231502835)","178","125",125 - F.J.Santamaria de Oro,F.J.Santamaria de Oro & Guatemala,AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"16"
"POINT (-58.4373374369099 -34.584950141684)","179","159",159 - Fitz Roy & Gorriti,Fitz Roy & Gorriti,AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"16"
"POINT (-58.4208687442152 -34.5851382266202)","180","123",123 - Armenia,Armenia 2315 & Charcas,AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"20"
"POINT (-58.4112752471874 -34.572164977964)","182","335",335 - General Urquiza,Figueroa Alcorta & Sarmiento,AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"20"
"POINT (-58.4348734428931 -34.6002755030642)","184","129",129 - Velasco,J.Ramirez de Velasco 285,AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"20"
"POINT (-58.4426837676874 -34.5996594507231)","185","136",136 - Acevedo,Acevedo 220 y padilla,AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"20"
"POINT (-58.4289721244116 -34.5905413100845)","186","142",142 - Armenia y Gorriti,Armenia 1525 y Gorriti,AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"16"
"POINT (-58.424993923364 -34.5858782232926)","187","113",113 - Guatemala,Guatemala 4773,AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"20"
"POINT (-58.411490383491 -34.5899683825807)","188","59",059 - Coronel Diaz,Guemes 3330 & Coronel Diaz,AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"20"
"POINT (-58.4156337551366 -34.6359677677836)","191","140",140 - Las Casas,Metán 3656,AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"16"
"POINT (-58.4275713849998 -34.6351293340117)","192","97",097 - Avelino Diaz,Avelino Diaz&Doblas,AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"16"
"POINT (-58.4206256441755 -34.5725829417623)","194","160",160 - Godoy Cruz y Libertador,Godoy Cruz  3279 y Libertador,AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"20"
"POINT (-58.4248511861528 -34.6234010796576)","195","178",178 - José Marmol,803 José Marmol,AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"16"
"POINT (-58.4327844278272 -34.6104567454706)","199","188",188 - Aranguren,"137 Aranguren, Juan F., Dr. & Portugal",AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"20"
"POINT (-58.4515290107423 -34.5815759952173)","201","243",243 - PLAZOLETA CELEDONIO FLORES,Cordoba 6599,AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"12"
"POINT (-58.4645031587045 -34.5678251183567)","202","259",259 - PLAZA CASTELLI,Echeverria 3249,AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"16"
"POINT (-58.4458959421918 -34.6051095592246)","203","384",384 - PLAZA BENITO NAZAR,"Virasoro, Valentin & Figueroa, D Apolinario, Coronel",AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"16"
"POINT (-58.4788904081029 -34.5599388681435)","204","252",252 - Tamborini,Tamborini 3821,AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"20"
"POINT (-58.4870744524175 -34.5737946433224)","207","281",281 - Villa Urquiza,Triunvirato Av. & Roosevelt Franklin D. Av.,AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"24"
"POINT (-58.455165024712 -34.5621605352259)","208","254",254 - Plaza Rafael Hernandez,Vuelta de Obligado 2004,AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"16"
"POINT (-58.4207045947455 -34.5652027732943)","210","391",391 - Plaza República de Ecuador,"Figueroa Alcorta, Pres. Av. & Dorrego Av.",AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"20"
"POINT (-58.4941239444018 -34.6008742255191)","212","348",348 - Villa del Parque,"Gutierrez, Ricardo 3105",AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"12"
"POINT (-58.4032109430291 -34.5771601311645)","213","103",103 - MALBA,3051 San Martin De Tours,AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"20"
"POINT (-58.4431490472646 -34.5522037675029)","215","248",248 - Husares,Husares 2201,AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"16"
"POINT (-58.4664936579452 -34.5838956745866)","217","282",282 - Tronador,Triunvirato Av. & Tronador,AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"18"
"POINT (-58.4746349264237 -34.5735216982903)","218","346",346 - Plaza Zapiola,2001 Donado,AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"20"
"POINT (-58.3743322250401 -34.6471228683411)","222","331",331 - CALIFORNIA,California y General Hornos,AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"16"
"POINT (-58.4416058733794 -34.6207179362781)","224","276",276 - PRIMERA JUNTA,Av. Rivadavia & Del Barco Centenera,AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"16"
"POINT (-58.4485461758828 -34.6220929335813)","225","374",374 - Puan,Yerbal 1290,AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"16"
"POINT (-58.4812361851259 -34.570824604418)","227","264",264 - Plaza Marcos Sastre,Miller & Monroe,AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"24"
"POINT (-58.4553330558778 -34.5655206108981)","228","336",336 - La Pampa,La Pampa 2512 & Ciudad de la Paz,AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"16"
"POINT (-58.4405827974639 -34.6161518371301)","231","272",272 - Plaza Bruno Giordano,Bruno Giordano&Neuquen,AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"16"
"POINT (-58.4674768852983 -34.6097605592715)","232","349",349 - Plaza Saenz Peña,Andres Lamas&Remedios Escalada de San Martin,AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"16"
"POINT (-58.4575545550579 -34.6220038872984)","233","270",270 - PLAZA DEL ANGEL GRIS,Calcena & Avellaneda Av.,AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"12"
"POINT (-58.4506574072016 -34.6418846749272)","235","361",361 - Plaza Don Segundo Sombra,2347 Santander,AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"16"
"POINT (-58.4765208370492 -34.5500141539404)","238","399",399 - GARCIA DEL RIO,GARCIA DEL RIO & PINTO,AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"28"
"POINT (-58.4577982444269 -34.5773288677031)","239","260",260 - SAN MIGUEL DE GARICOITS,"Delgado & Loreto, Virrey",AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"18"
"POINT (-58.4302585341257 -34.6401154346711)","240","370",370 - Beauchef,1995 Beauchef,AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"16"
