,price,expenses,m2,rooms,bathrooms,years,address,barrio,subbarrio,note,link
18,298000,10000,89,3,2,0,Av. Olazabal esquina Triunvirato,Villa Urquiza,,"TODO AL FRENTE c/BALCON, 4 AMBIENTES   COCHERA!  A ESTRENAR, 100M2",/departamento-en-venta-en-villa-urquiza-4-ambientes--7982014
19,99000,5646,76,2,1,40,DAVILA al 800,Parque Chacabuco,,DAVILA AL 800 - 80 M2 BAULERA EN DEPTO BCON - Parque Chacabuco,/departamento-en-venta-en-parque-chacabuco-3-ambientes--10880855
0,95000,9000,51,1,2,12,LAVALLE al 2000,Balvanera,,LAVALLE 2000 - NUEVO (12 AÑOS) BCON T/SOL APTO PROFESIONAL - Balvanera,/departamento-en-venta-en-balvanera-2-ambientes--7969706
1,250000,18000,105,3,3,38,"J De Amenabar 1100, Piso 4",Belgrano,,4 ambientes con dependencias. y cochera a 2 cerca de Cabildo,/departamento-en-venta-en-belgrano-4-ambientes--6248598
2,165000,8000,90,3,2,25,JUAN D. PERON al 2500,Balvanera,,SEMIP C/DEP PERON AL 2500 - APTO PROF V/ABIERTA T/SOL - Balvanera,/departamento-en-venta-en-balvanera-4-ambientes--9062928
3,120000,3500,47,1,1,35,"Av. Olazabal 5200, Piso 8",Villa Urquiza,,Departamento de dos ambientes en piso alto.,/departamento-en-venta-en-villa-urquiza-2-ambientes--6740250
4,79000,6410,42,2,1,40,BOULOGNE SUR MER al 800,Barrio Norte,,BOULOGNE SUR MER AL 800 - IMPECABLE - Barrio Norte,/departamento-en-venta-en-barrio-norte-3-ambientes--10889079
5,270000,NaN,153,2,2,12,BOLIVAR al 800,San Telmo,,NUEVO (12 AÑOS) EN 3 PLANTAS - 153 M2 TERRAZA C/PARRILLA SUITE Y BÑO - BOLIVAR AL 800 - San Telmo,/departamento-en-venta-en-san-telmo-3-ambientes--10914746
6,108000,NaN,40,1,1,2,"Joaquín V Gonzalez 2400, Piso 1",Villa del Parque,,EXCELENTE 2 AMB AMPLIOS 2 PATIOS ABIERTOS AMPLIOS. LUZ -NUEV,/departamento-en-venta-en-villa-del-parque-2-ambientes--11330858
7,340000,17000,115,3,2,,Araoz 2800, Palermo,Botanico,ARAOZ 2800 - 3 DORMITORIOS - BALCÓN CORRIDO - 2 BAÑOS - DEPENDENCIA - LAVADERO,/departamento-en-venta-en-botanico--9559243
8,60000,4500,65,2,1,25,F Crespo 2100,Parque Chacabuco,,Departamento en venta en Parque Chacabuco,/departamento-en-venta-en-parque-chacabuco-3-ambientes--11283151
9,155000,NaN,,3,1,,Av. Rivadavia 9900,Villa Luro,,Dueño vende Excelente  PH 5 ambientes + Terraza + patio + balcón -,/departamento-en-venta-en-villa-luro-5-ambientes--11309182
10,59300,3500,35,1,1,40,Av Avellaneda 3700,Floresta,,Av Avellaneda 3700 2 ambs,/departamento-en-venta-en-floresta-2-ambientes--9049543
11,110000,6000,38,1,1,50,"Av. Pueyrredon 1546, 4º B", Barrio Norte,Recoleta,Departamento - Recoleta,/departamento-en-venta-en-recoleta-2-ambientes--8435079
12,100000,5500,50,2,1,55,Díaz Colodrero 2300,Villa Urquiza,,DEPARTAMENTO 3 AMBIENTES EN VENTA VILLA URQUIZA,/departamento-en-venta-en-villa-urquiza-3-ambientes--10900052
13,155000,10000,57,2,1,5,"11 De Setiembre 2700, Piso 1",Nuñez,,"HERMOSO 3 AMB, GRAN BCON TERRAZA.AMENITIES. GRAN CATEGORIA!",/departamento-en-venta-en-nunez-3-ambientes--11211900
14,210000,NaN,63,2,2,0,LE BRETON 4900,Villa Urquiza,,3 AMBIENTES | LE BRETON 4940,/departamento-en-venta-en-villa-urquiza-3-ambientes--7895599
15,190000,8470,91,3,3,29,"Campana 2500, Piso 4",Villa del Parque,,MUY BUENA PLANTA  SUPERLUMINOSO CON DEPENDENCIA Y COCHERA,/departamento-en-venta-en-villa-del-parque-4-ambientes--11082472
16,85000,5300,39,0,1,7,"Av. Patricios 200, Piso 3",Barracas,,"Impecable, original y en la mejor zona de Barracas: ideal para primera vivienda",/departamento-en-venta-en-barracas-1-ambiente--11219003
17,45000,6000,23,0,1,30,Doctor Emilio Ravignani 1300,Palermo,,DEPARTAMENTO MONOAMBIENTE EN VENTA PALERMO PATIO,/departamento-en-venta-en-palermo-1-ambiente--10649679
18,NaN,NaN,70,1,2,8,"Juana Manso 100, Piso 1", Centro,Puerto Madero,"2 Amb Amoblado, Cochera Cubierta. Forum",/departamento-en-venta-en-puerto-madero-2-ambientes--8070313
19,NaN,NaN,130,2,2,,Juana Manso 100, Centro,Puerto Madero,3 Amb 2 Suite Amoblado Cochera Aterrazado,/departamento-en-venta-en-puerto-madero-3-ambientes--8287376
0,67900,NaN,31,0,1,0,Mosconi al 3100,Villa Pueyrredon,,Estudio profesional 1 ambientes al contra-frente con balcón,/departamento-en-venta-en-villa-pueyrredon-1-ambiente--7844897
1,115000,5500,28,1,1,4,"Vera 800, Piso 7",Villa Crespo,,"EXCELENTE 2 AMBIENTES, muy luminoso, Seguridad 24 hs.",/departamento-en-venta-en-villa-crespo-2-ambientes--8478443
2,135000,7500,41,1,2,20,"Bauness 2000, Piso 3",Villa Urquiza,,Departamento de dos ambientes con toilette,/departamento-en-venta-en-villa-urquiza-2-ambientes--6520082
3,49000,4494,26,0,1,11,SAN JOSE al 300, Centro,Monserrat,SAN JOSE AL 300 - 11 AÑOS APTO PROF - Monserrat,/departamento-en-venta-en-monserrat-1-ambiente--9618868
4,160000,10000,62,2,1,50,Av. Montes de Oca al 400,Barracas,,Departamento - Barracas,/departamento-en-venta-en-barracas-3-ambientes--10278716
5,475000,NaN,152,2,3,0,"Habana 3300, Piso 6",Villa Devoto,,Excelente 3 ambientes En Penthouse 6to y 7mo piso  con cochera - Amenities - A estrenar,/departamento-en-venta-en-villa-devoto-4-ambientes--7091940
6,367000,NaN,109,3,2,0,"Habana 3300, Piso 2",Villa Devoto,,4 Amb a Estrenar con Parrilla - Cochera - Amenities,/departamento-en-venta-en-villa-devoto-4-ambientes--7094998
7,235000,NaN,81,2,2,0,"Jose cubas 4400, Piso 2",Villa Devoto,,Lanzamiento departamento 3 Ambientes a estrenar,/departamento-en-venta-en-villa-devoto-3-ambientes--8472695
8,89500,2500,33,0,1,0,Av Balbin  al 4100,Saavedra,,Excelente monoambiente a estrenar divisible!,/departamento-en-venta-en-saavedra-1-ambiente--8011378
9,200000,12000,58,1,1,25,El lazo 3134 5º A, Palermo,Palermo Chico,Departamento - Palermo Chico,/departamento-en-venta-en-palermo-chico-2-ambientes--8903336
10,129000,2500,40,1,1,3,"Leon P Altolaguirre 2500, Piso 2",Villa Urquiza,,Hermoso dos ambientes muy luminoso,/departamento-en-venta-en-villa-urquiza-2-ambientes--10882325
11,134000,11000,50,2,1,18,"Av Rivadavia 4300, Piso 4", Caballito,Parque Lezica,AL FRENTE CON COCHERA,/departamento-en-venta-en-parque-lezica-3-ambientes--10905179
12,99000,2500,38,1,1,40,"Habana 4300, Piso 4",Villa Devoto,,Excelente 2 ambientes refaccionado en inmejorable ubicación,/departamento-en-venta-en-villa-devoto-2-ambientes--11148485
13,79000,7000,43,1,1,9,"Av Triunvirato 5400, Piso 10",Villa Urquiza,,"Excelente semipiso de dos ambientes, con doble circulacion",/departamento-en-venta-en-villa-urquiza-2-ambientes--6248872
14,61900,7611,34,1,1,26,General Urquiza 400,Balvanera,,VENTA APTO VIVIENDA/PROFES./CONSULTORIO C/PATIO,/departamento-en-venta-en-balvanera-2-ambientes--11276044
15,43000,1500,20,0,1,,"AV. DIRECTORIO 2300, Piso 3RO.",Flores,,MONOAMBIENTE EN FLORES PLAZA MISERICORDIA S/ AV. DIRECTORIO COCINA Y BAÑO MEJOR OFERTA,/departamento-en-venta-en-flores-1-ambiente--5106113
16,109000,5800,42,1,1,10,Franklin D. Roosevelt 4900,Villa Urquiza,,Departamento en venta 2 Amb  Villa Urquiza tomo propiedad,/departamento-en-venta-en-villa-urquiza-2-ambientes--9127874
17,550000,NaN,145,2,3,8,Amenábar 2300,Belgrano,,Venta Depto 3 Amb. 2 Coch Full Amenities Sup160 m2,/departamento-en-venta-en-belgrano-3-ambientes--11285719
18,185000,7400,98,3,1,51,Avenida Acoyte 200,Caballito,,DEPTO 4 AMB VENTA CABALLITO C DEP Y BALCÓN SUBTE A,/departamento-en-venta-en-caballito-4-ambientes--9059528
19,NaN,NaN,120,2,3,8,Juana Manso 100, Centro,Puerto Madero,3 Amb 2 Suite Amoblado Cochera. Forum,/departamento-en-venta-en-puerto-madero-3-ambientes--9953814
0,NaN,NaN,140,3,2,8,Juana Manso 100, Centro,Puerto Madero,4 Amb Amoblado 2 Suites Cochera. Forum,/departamento-en-venta-en-puerto-madero-4-ambientes--8070271
1,69000,4500,33,1,1,5,"Quintino Bocayuva 500, Piso 2°",Almagro,,DEPARTAMENTO DOS AMBIENTES EN ALMAGRO,/departamento-en-venta-en-almagro-2-ambientes--8090079
2,11,18000,120,3,2,15,LA MAR al 100,Caballito,,Departamento - Caballito,/departamento-en-venta-en-caballito-4-ambientes--9280945
3,110000,NaN,80,3,1,25,PASAJE LUCERO al 200,Almagro,,T/CASA S/EXP 80 M2 TOT - PASAJE LUCERO 200 - Almagro,/departamento-en-venta-en-almagro-4-ambientes--7382304
4,135000,NaN,57,2,1,30,Olazabal al 4500,Villa Urquiza,,Venta-Departamento 3 ambientes con balcón-Villa Urquiza,/departamento-en-venta-en-villa-urquiza-3-ambientes--8044560
5,350000,25000,122,3,2,25,"Av. salvador maria del carril 3500, Piso 3",Villa Devoto,,VENTA VILLA DEVOTO SEMIPISO 4 AMBIENTES ESCRITORIO COCHERA,/departamento-en-venta-en-villa-devoto-4-ambientes--10853379
6,49000,2088,23,0,1,25,JEAN JAURES al 600,Balvanera,,JEAN JAURES 600 - LUMINOSO - BALVANERA,/departamento-en-venta-en-balvanera-1-ambiente--10430866
7,167000,15000,82,3,2,,15 De Noviembre 1889 1700,Constitucion,,4 AMB CON COCHERA FIJA CUBIERTA y BAULERA - EXCELENTE UBICACION,/departamento-en-venta-en-constitucion-4-ambientes--10971587
8,38000,4000,4,1,1,65,Lima al 1600,Constitucion,,Departamento 2 Ambientes - Constitución,/departamento-en-venta-en-constitucion-2-ambientes--10746592
9,175000,21000,73,2,3,27,"Colpayo 300, Piso 3°",Caballito,,VENTA en CABALLITO 3 Amb - Dependencia - COCHERA - BAULERA,/departamento-en-venta-en-caballito-3-ambientes--8509071
10,175000,2144,95,2,1,58,"Güemes 3500, Piso 4",Barrio Norte,,Vendo Depto. de 3 amb. en muy buen estado!,/departamento-en-venta-en-barrio-norte-3-ambientes--10541989
11,57000,4600,32,1,1,40,Dean Funes 400,Balvanera,,DEPARTAMENTO 2 AMBIENTES CON BALCON FRANCES.  EXCELENTE ESTADO.,/departamento-en-venta-en-balvanera-2-ambientes--10420822
12,69900,4500,34,0,1,0,Romulo Naon al 3500,Saavedra,,Departamento - Saavedra,/departamento-en-venta-en-saavedra-1-ambiente--11280784
13,110000,9300,59,2,1,25,"Amadeo Jacques 7000, Piso 7",Liniers,,Impecable Departamento de 3 Ambientes en Edificio con Parque,/departamento-en-venta-en-liniers-3-ambientes--10970932
14,77000,NaN,38,1,1,6,Los Pirineos 1300,Villa Santa Rita,,DEPARTAMENTO 2 AMBIENTES CON BALCÓN,/departamento-en-venta-en-villa-santa-rita-2-ambientes--11337758
15,130000,13500,75,2,1,40,Juan Domingo Peron 2200,Balvanera,,"Departamento 3 Ambientes 7º Piso Al Frente, Peron Al 2200.",/departamento-en-venta-en-balvanera-3-ambientes--9790440
16,159000,12000,67,2,,0,Paraguay 3500,Palermo,,"Departamento  en Venta ubicado en Palermo, Capital Federal - INT0078_LP366740_1",/departamento-en-venta-en-palermo-3-ambientes--8322005
17,156999,2500,47,1,1,,AVENIDA CORRIENTES al 4800,Villa Crespo,,SEMIPISO A ESTRENAR EN VENTA DE 2 AMBIENTES EN VILLA CRESPO AMENITIES FULL GRAN OPORTUNIDAD,/departamento-en-venta-en-villa-crespo-2-ambientes--6350665
18,207000,NaN,76,2,2,35,Del Barco Centenera 300,Parque Chacabuco,,Espectacular Semipiso de 3 ambientes al frente con Balcón.,/departamento-en-venta-en-parque-chacabuco-3-ambientes--10919200
19,74000,4000,38,1,1,5,"ARGERICH 1600, Piso 4",Villa Santa Rita,,2 AMB MODERNO CONTRAFTE CON BALCON,/departamento-en-venta-en-villa-santa-rita-2-ambientes--8321183
0,110000,15000,75,2,1,30,"REMEDIOS ESCALADA SAN MARTIN 2800, Piso 6",Villa Santa Rita,,3 AMB AL FRENTE C/BALCON,/departamento-en-venta-en-villa-santa-rita-3-ambientes--11211235
1,269000,8500,60,2,2,12,"Roosevelt 1900, Piso 1",Belgrano,,3 amb con balcón terraza. Cochera fija.,/departamento-en-venta-en-belgrano-3-ambientes--6705545
2,59900,4613,30,0,1,9,AV. RIVADAVIA al 10500,Liniers,,AV. RIVADAVIA AL 10500 - 9 AÑOS DIVISIBLE APTO PROF BALCON V/ABIERTA T/SOL - Liniers,/departamento-en-venta-en-liniers-1-ambiente--11238377
3,96000,5000,40,1,1,8,"Dr L Belaustegui 3000, Piso PB",Villa Santa Rita,,2 AMB EXCELENTE MODERNO AL FRENTE P.BAJA APTO PROFESIONAL,/departamento-en-venta-en-villa-santa-rita-2-ambientes--10649569
4,144000,NaN,80,3,2,25,"BONORINO, ESTEBAN, CORONEL AL 0",Flores,,Esteban Bonorino y Rivadavia - Sin Expensas - Flores,/departamento-en-venta-en-flores-4-ambientes--7382300
5,180221,NaN,82,1,1,0,"CONCEPCION ARENAL 3400, Piso 1",Colegiales,,"Departamento - Venta - Argentina, Capital Federal - CONCEPCION ARENAL 3400",/departamento-en-venta-en-colegiales-2-ambientes--11026651
6,98000,9500,55,2,1,50,"Av. Nazca 1700, Piso 4",Villa Santa Rita,,Gran Oportunidad!  Departamento 3 Amb. c/ Gran Balcón al Frente!,/departamento-en-venta-en-villa-santa-rita-3-ambientes--8127666
7,88500,NaN,44,1,1,0,"Av Dr Juan Bautista Justo 5800, Piso 3",Villa Santa Rita,,Av. JB Justo 5839. A estrenar con financiación!,/departamento-en-venta-en-villa-santa-rita-2-ambientes--10921436
8,150000,10000,64,2,2,,"Gral B Victorica 2800, Piso 3",Villa Urquiza,,Departamento 3 Ambientes con Cochera - 2 baños - Balcon Aterrazado  - 75 m2 Totales +3 cuadras Subte,/departamento-en-venta-en-villa-urquiza-3-ambientes--7259439
9,179000,9500,58,2,1,10,"Hortiguera 600, Piso 1",Parque Chacabuco,,Excelente Semipiso de 3 ambientes baño toilette Balcon terraza con parrilla,/departamento-en-venta-en-parque-chacabuco-3-ambientes--9758953
10,249000,16000,70,2,2,12,"Fortin Melincue 3700, Piso 2",Villa del Parque,,"3 AMB FTE, c//2 COCHERAS, 2 Baños (1 suite) Edif. de Categoria c/Amenities Piscina-SUM-Parque- EXCEL",/departamento-en-venta-en-villa-del-parque-3-ambientes--10331183
11,97500,NaN,34,1,1,5,"Congreso 5000, Piso 2",Villa Urquiza,,IMPECABLE 2 AMBIENTES - AL FRENTE CON BALCON 43 M2 - EDIF CON AMENITIES - BALCON ATERRAZADO,/departamento-en-venta-en-villa-urquiza-2-ambientes--8340353
12,68000,5000,53,2,1,40,"Medrano 500, Piso 2",Almagro,,Departamento en Venta 2 Dormitorios,/departamento-en-venta-en-almagro-3-ambientes--3218205
13,67000,1600,,1,1,50,"Av. Avellaneda 900, Piso 3",Caballito,,DEPARTAMENTO EN VENTA EN CABALLITO 2 AMBIENTES,/departamento-en-venta-en-caballito-2-ambientes--10264763
14,89000,3100,45,1,1,5,PASAJE EL TEMPLE 2600,Villa Urquiza,,"Departamento - Venta - Argentina, Capital Federal - PASAJE EL TEMPLE 2600",/departamento-en-venta-en-villa-urquiza-2-ambientes--8910058
15,202800,NaN,77,3,2,,"Suarez 1700, Piso 1",Barracas,,CANVAS BARRACAS,/departamento-en-venta-en-barracas--9041875
16,128000,NaN,72,2,2,0,Av. Caseros al 3700 Pisos 1° y 2°,Boedo,,Departamento - Boedo,/departamento-en-venta-en-boedo-3-ambientes--6574655
17,215000,13000,80,3,1,51,"E Mitre 800, Piso 6",Parque Chacabuco,,4 ambientes 80 m2 CON COCHERA FIJA Y CUBIERTA al frente con balcón. Cocina comedor. Baño y toilet,/departamento-en-venta-en-parque-chacabuco-4-ambientes--8456666
18,240000,NaN,112,3,3,16,Bogotá 2300,Flores,,Depto Venta 4 Amb Dep Patio Balcón Coch Bau. 128m2,/departamento-en-venta-en-flores-4-ambientes--11285730
19,85000,NaN,,2,1,35,"Garcia De Cossio 6800, Piso 1",Liniers,,DEPARTAMENTO DE TRES AMBIENTES AL FRENTE EN PRIMER PISO POR ESCALERA,/departamento-en-venta-en-liniers-3-ambientes--11105293
0,49000,6000,31,1,1,40,MORENO al 2200,Balvanera,,MORENO 2200 - IMPECABLE BALCON - BALVANERA,/departamento-en-venta-en-balvanera-2-ambientes--11218787
1,89000,3600,56,2,1,30,Pola 100,Liniers,,"Departamento - Venta - Argentina, Capital Federal - Pola 100",/departamento-en-venta-en-liniers-3-ambientes--7947286
2,127000,NaN,44,1,1,0,Pola al 1100,Mataderos,,"A Estrenar - 2 amb. Frente c/balcon, excel. construccion - Cochera cubierta opcional",/departamento-en-venta-en-mataderos-2-ambientes--8325245
3,99000,1000,60,2,,10,Ulrico Schmidl 6100,Liniers,,"Departamento - Venta - Argentina, Capital Federal - Ulrico Schmidl 6100",/departamento-en-venta-en-liniers-3-ambientes--10059690
4,59000,4800,"34,38",1,1,,"3 ARROYOS 1200, Piso 3",Caballito,,"Luminoso departamento con un dormitorio, amplios placares.",/departamento-en-venta-en-caballito-2-ambientes--10882764
5,180000,14000,70,2,2,12,Pacheco al 2700,Villa Urquiza,,BAJO DE PRECIO!! Departamento  3 ambientes  balcón corrido y 2 baños COCHERA,/departamento-en-venta-en-villa-urquiza-3-ambientes--6132077
6,70000,2800,28,0,,,Ulrico Schmidl 6000,Liniers,,"Departamento - Venta - Argentina, Capital Federal - Ulrico Schmidl 6000",/departamento-en-venta-en-liniers-1-ambiente--10173597
7,187000,14300,60,2,2,15,"Pedro Rivera 3000, Piso 3", Belgrano,Belgrano R,"EXCELENTE 3AMB C/COCHERA Y BAUL, MUY LUMINOSO.",/departamento-en-venta-en-belgrano-r-3-ambientes--7383654
8,75000,7000,40,1,1,40,"Virgilio 400, Piso 4",Villa Luro,,"2 AMB AMPLIOS AMBIENTES EN VILLA LURO, CONTRAFRENTE BALCON CORRIDO COCHERA",/departamento-en-venta-en-villa-luro-2-ambientes--4954914
9,100000,NaN,55,1,2,0,Formosa 600,Caballito,,Depto. 2 ambientes a estrenar en Caballito,/departamento-en-venta-en-caballito-2-ambientes--8125436
10,250000,8700,100,3,2,46,TRONADOR 2600,Coghlan,,Muy linda planta de 5 ambientes con balcon!! Excelente zona!,/departamento-en-venta-en-coghlan-4-ambientes--7910883
11,108000,NaN,63,2,2,5,"Av Caseros 2500, Piso 2",Parque Patricios,,TRES AMBIENTES CON COCHERA SOBRE AV. CASEROS,/departamento-en-venta-en-parque-patricios-3-ambientes--11346251
12,83000,5400,37,0,1,5,"MuÑiz 1100, Piso 9",Boedo,,IMPECABLEEEEEEE MONOAMBIENTE DIVISIBLE  CON BALCÓN!!!!,/departamento-en-venta-en-boedo-1-ambiente--9981421
13,108000,7600,46,1,1,71,"Avda Cordoba 2500, Piso 7",Balvanera,,Departamento - 2 ambientes con balcón - Frente,/departamento-en-venta-en-balvanera-2-ambientes--11328162
14,65000,7200,37,1,1,15,Av Velez Sarsfield 161 Piso 2,Parque Patricios,,Departamento 2 Ambientes - Parque Patricios,/departamento-en-venta-en-parque-patricios-2-ambientes--8290125
15,90000,NaN,39,1,,,Pilar 800,Liniers,,"Departamento - Venta - Argentina, Capital Federal - Pilar 800",/departamento-en-venta-en-liniers-2-ambientes--10173568
16,81000,5000,41,1,1,32,"15 De Noviembre 1889 2400, Piso 1",Parque Patricios,,53m - 2 ambientes con patio - Excelente estado,/departamento-en-venta-en-parque-patricios-2-ambientes--9953613
17,76000,3000,30,0,1,4,Murguiondo 100,Liniers,,"Departamento - Venta - Argentina, Capital Federal - Murguiondo 100",/departamento-en-venta-en-liniers-1-ambiente--8147093
18,59000,12000,40,1,1,40,BRASIL al 1700,Parque Patricios,,BRASIL Y AV. ENTRE RIOS - BCON V/PANORAMICA T/SOL - PARQUE PATRICIOS,/departamento-en-venta-en-parque-patricios-2-ambientes--11180073
19,186900,17000,,3,2,32,Av Directorio 600,Caballito,,"SEMIPISO 4 AMBIENTES CON BALCÓN ATERRAZADO,  COCHERA Y BAULERA .",/departamento-en-venta-en-caballito-4-ambientes--11345309
0,173900,NaN,88,3,,,Oliden 600,Liniers,,"Departamento - Venta - Argentina, Capital Federal - Oliden 600",/departamento-en-venta-en-liniers-4-ambientes--10676899
1,66000,7300,,0,1,20,"Maza 600, Piso 1*",Boedo,,"DUEÑO VENDE MONOAMBIENTE  34,5 m2  OPCIONAL  COCHERA FIJA CUBIERTA",/departamento-en-venta-en-boedo-1-ambiente--7605938
2,105000,7000,39,1,1,10,P I Rivera al 4900,Villa Urquiza,,Departamento de 2 ambientes con balcón al contra frente. AMENITIES,/departamento-en-venta-en-villa-urquiza-2-ambientes--10832315
3,69000,1000,37,1,1,40,"Tinogasta 3800, Piso PB",Villa del Parque,,NUEVO  VALOR: 2 AMBIENTES - IMPECABLE !  P.B.  C/PATIO .,/departamento-en-venta-en-villa-del-parque-2-ambientes--8466748
4,199500,NaN,68,2,2,0,"Mendoza 5600, Piso 3",Villa Urquiza,,"Amplio 3 amb, balcon aterraz. Con Baulera. Cochera Optativa.",/departamento-en-venta-en-villa-urquiza-3-ambientes--5903956
5,192061,NaN,78,2,2,0,"Diaz Colodrero 2800, Piso 2",Villa Urquiza,,DIAZ COLODRERO 2895,/departamento-en-venta-en-villa-urquiza-3-ambientes--6037676
6,81500,NaN,42,0,1,,"Av Dr Juan Bautista Justo 5800, Piso 2",Villa Santa Rita,,Av. JB Justo 5839. A estrenar con financiación!,/departamento-en-venta-en-villa-santa-rita--10847456
7,119000,NaN,33,1,1,0,"Mendoza 5500, Piso 8",Villa Urquiza,,1 Amb divisible con amenities.,/departamento-en-venta-en-villa-urquiza-2-ambientes--6555170
8,128000,9000,68,2,2,60,"Navarro 3600, Piso 1",Villa Devoto,,¡¡¡¡¡OPORTUNIDAD!!!!!!!!!Cerca Plaza V.Devoto 3 Amb amplios,/departamento-en-venta-en-villa-devoto-3-ambientes--8036853
9,140800,NaN,44,0,1,0,Armenia al 2400, Palermo,Botanico,Departamento - Botanico,/departamento-en-venta-en-botanico-1-ambiente--11078584
10,395000,19600,150,3,3,35,"Guayaquil 400, Piso 7",Caballito,,RETASADOOO  PISO EN DUPLEX 7º y 8º!BCÓN TZA / COCH / BAULERA,/departamento-en-venta-en-caballito-4-ambientes--8472317
11,85000,NaN,39,1,1,,Av Patricios 100,Barracas,,Av Patricios al 100 - Departamento 2 ambientes muy luminoso,/departamento-en-venta-en-barracas-1-ambiente--10922442
12,148000,12156,41,1,1,7,"Zapata 500, Piso 1",Belgrano,,2 ambientes excelente estado y ubicación,/departamento-en-venta-en-belgrano-2-ambientes--8452334
13,110000,NaN,34,0,1,0,La Pampa 2900, Belgrano,Belgrano R,DEPARTAMENTO VENTA MONOAMBIENTE BELGRANO R en POZO,/departamento-en-venta-en-belgrano-r-1-ambiente--11145303
14,168000,11000,79,3,2,40,Honorio Pueyrredón 900, Caballito,Caballito Norte,Muy buen Departamento sobre Honorio Pueyrredón - Caballito Norte,/departamento-en-venta-en-caballito-norte-4-ambientes--8329130
15,82000,NaN,"52,07",2,1,45,"Av. Jujuy 2000, Piso 9",Parque Patricios,,"Departamento de 3 Ambientes Al Frente balcon Corrido Cocina Comedor, OPORTUNIDAD!",/departamento-en-venta-en-parque-patricios-3-ambientes--10762585
16,142000,4600,50,2,1,50,"Vta Obligado 2600, Piso 7",Belgrano,,3 AMB CFTE BALCON COCINA COM LAVADERO SUPER LUMINOSO,/departamento-en-venta-en-belgrano-3-ambientes--6144656
17,72500,1776,36,0,1,0,ESTOMBA al 3000,Coghlan,,A ESTRENAR ESTOMBA 3000 - BALCON V/ABIERTA T/SOL APTO PROF - COGHLAN,/departamento-en-venta-en-coghlan-1-ambiente--7792279
18,94000,4250,44,1,1,42,Diaz Colodrero al 2700,Villa Urquiza,,"Departamento 2 ambientes con balcón, reciclado sin uso. Eléctrico. Muy Luminoso!",/departamento-en-venta-en-villa-urquiza-2-ambientes--11068067
19,89000,7718,60,2,1,40,"Almafuerte 100, Piso 15",Parque Patricios,,3amb Muy Luminoso coc int lav Vista Abierta,/departamento-en-venta-en-parque-patricios-3-ambientes--11073072
0,85000,NaN,52,2,1,45,"I Portela 1000, Piso PB",Flores,,Excelente PH de 3 Ambientes,/departamento-en-venta-en-flores-3-ambientes--6500590
1,90000,12000,36,0,1,10,Ibera al 2000 entre Arcos y O'Higgins,Nuñez,,Departamento Monoambiente Venta - Nuñez,/departamento-en-venta-en-nunez-1-ambiente--8519779
2,85000,1100,,0,,1,Fragata Sarmiento 1800,Paternal,,"VENTA DE DOS AMBIENTES,con balcón 37 M2 EN PATERNAL",/departamento-en-venta-en-paternal-1-ambiente--9935560
3,540000,NaN,111,2,2,10,Juana Manso 400, Centro,Puerto Madero,Terrazas del yacht - Juana Manso 400 Puerto Madero - Excelente 3 amb. de 145 m2 !!!,/departamento-en-venta-en-puerto-madero-3-ambientes--10857514
4,74000,8000,28,1,1,,Godoy Cruz 2700, Palermo,Botanico,Depto. 2 ambientes excelente estado -,/departamento-en-venta-en-botanico-2-ambientes--10887506
5,59900,4300,30,0,1,14,Helguera 1200,Villa del Parque,,"Monoambiente con balcón, pileta, sum y parrilla",/departamento-en-venta-en-villa-del-parque-1-ambiente--8951924
6,109500,6700,42,1,,8,"Av. Cramer 3900, Piso 2",Nuñez,,"EXCELENTE 2 AMBIENTES. 42 M2 CUBIERTOS, 3 DESCUBIERTOS,  AMENITIES, PISCINA, SOLARIUM DISFRUTAR YA.",/departamento-en-venta-en-nunez-2-ambientes--10333744
7,439000,40000,149,3,3,45,"Arcos 1700, Piso 3",Belgrano,,"Arcos  1786, 4 ambientes al frente con dep, cochera fija",/departamento-en-venta-en-belgrano-4-ambientes--6675219
8,99000,9500,78,3,1,70,Perú 100, Centro,Microcentro,4 amb. bcon.calle Apto Prof. o Vvda.,/departamento-en-venta-en-microcentro-4-ambientes--8902525
9,130000,2960,55,2,1,50,Arist6bulo del Valle al 1400,Barracas,,Departamento - Barracas,/departamento-en-venta-en-barracas-3-ambientes--8906603
10,79000,6000,40,0,1,40,Lavalle al 3600, Almagro,Almagro Norte,Departamento 1 ambiente con balcón al frente en venta 44.42mts totales- Almagro,/departamento-en-venta-en-almagro-norte-1-ambiente--8984067
11,117000,9000,62,2,1,55,"LUIS SAENZ PEÑA 1100, Piso 6",Constitucion,,"VENTA DEPARTAMENTO TRES AMBIENTES, LUMINOSO, IMPECABLE.",/departamento-en-venta-en-constitucion-3-ambientes--8998313
12,228000,12000,62,2,2,3,"J De Amenabar 3800, Piso 2",Nuñez,,3 impecables ambietes c/ 2 cocheras y baulera,/departamento-en-venta-en-nunez-3-ambientes--8930679
13,215000,15000,67,2,1,10,"Cnel J Moldes 3100, Piso 5",Nuñez,,EXCELENTE Y AMPLIO 3 AMBIENTES TODO AL FRENTE CON BALCÓN y COCHERA FIJA - LUZ y SOL,/departamento-en-venta-en-nunez-3-ambientes--8140557
