,price,expenses,m2,rooms,bathrooms,years,address,barrio,subbarrio,note,link
6,257000,23000,108,3,3,,Junin 1400, Barrio Norte,Recoleta,Impec! Estilo Casa! M/lum! Excel Distrib! Todo a nuevo! Suite! Patio propio! Lav! Dep C/baño! OPORT,/departamento-en-venta-en-recoleta-4-ambientes--11083098
7,190000,14000,70,2,2,7,Av. Las Heras 2200, Barrio Norte,Recoleta,IMPEC! Balcón corrido al fte c/vista abta! M/lum! Excel distrib! Suite! Lav! Piscina! Apto! OPORT!,/departamento-en-venta-en-recoleta-3-ambientes--10704466
8,48000,3500,25,0,1,,BERUTI 2800, Barrio Norte,Recoleta,Impecable! Amplio Monoambiente! M/Lum! Excel distribución! Bajas expensas! Único! OPORT!,/departamento-en-venta-en-recoleta--11290230
9,140000,12000,46,1,1,8,"Gorriti 3500, Piso 4", Barrio Norte,Recoleta,2  COMODOS AMB. EN EL LIMITE RECOLETA-PALERMO,/departamento-en-venta-en-recoleta-2-ambientes--11012907
10,90000,NaN,35,0,,,"Paraguay 2900, Piso 4", Palermo,Palermo Soho,Departamento en venta en Palermo Soho,/departamento-en-venta-en-palermo-soho-1-ambiente--11334231
11,51370,NaN,22,0,1,,"Arenales 2500, Piso 3",Barrio Norte,,"Departamento - Venta - Argentina, Capital Federal - Arenales 2500",/departamento-en-venta-en-barrio-norte-1-ambiente--11057922
12,125000,15000,40,0,,15,Arenales 2300, Barrio Norte,Recoleta,Departamento en venta en Recoleta,/departamento-en-venta-en-recoleta-1-ambiente--11344196
13,169000,14000,67,2,1,20,Manuel Ugarte al 1500,Belgrano,,Departamento 3 AMB. - Belgrano CON COCHERA,/departamento-en-venta-en-belgrano-3-ambientes--8990909
14,370000,20000,201,4,3,40,AV. JURAMENTO al 1800,Belgrano,,PISO EN JURAMENTO AL 1800 - V/ABIERTA T/SOL - Barrancas de Belgrano,/departamento-en-venta-en-belgrano-5-ambientes--10256173
15,700000,40000,163,3,2,50,Juez Tedín al 2800 Barrio PARQUE,Palermo,,Juez Tedin y Sevilla- BARRIO PARQUE.  IMPECABLE RECICLADO COCHERA.,/departamento-en-venta-en-palermo-4-ambientes--9081574
16,238000,20000,"104,82",3,2,40,"Manuel Ugarte 2200, Piso 4", Belgrano,Belgrano C,DUEÑO DIRECTO VENDE SIN COMISION   Excelente semipiso a metros de Cabildo y plaza Alberti,/departamento-en-venta-en-belgrano-c-4-ambientes--11076052
17,168000,14500,67,2,2,25,"Jose Hernández 2600, Piso 2",Belgrano,,"Excelente 3 Ambientes, Balcón Corrido, Cochera, Baulera en I",/departamento-en-venta-en-belgrano-3-ambientes--10972559
18,240000,12000,81,2,2,20,"Honduras 3900, Piso 1º", Palermo,Palermo Viejo,"Terrazas & Balcones - Semipiso 4 Ambientes, Cochera Fija",/departamento-en-venta-en-palermo-viejo-3-ambientes--7622452
19,176000,NaN,64,2,2,15,"Delfin Huergo 300, Piso 4", Belgrano,Las Cañitas,Oportunidad!!!Excelente.Dueño vende 3 amb Las Cañitas,/departamento-en-venta-en-las-canitas-3-ambientes--8496830
0,105000,3800,45,1,1,10,Neuquen 1940,Caballito,,Excelente Piso a metros Plaza Irlanda – 2 Amb - Súper Luminoso – A/Profesional,/departamento-en-venta-en-caballito-2-ambientes--9041128
1,116000,NaN,42,0,1,0,"AV. CRAMER 2300, Piso 4", Belgrano,Belgrano R,MONOAMBIENTE A ESTRENAR!!! ( dueño directo),/departamento-en-venta-en-belgrano-r-1-ambiente--11100389
2,189000,NaN,67,2,2,0,Doblas y Bonifacio,Caballito,,DOBLAS 848 3°A * 3 AMB en Caballito A ESTRENAR ENTREGA INMEDIATA.,/departamento-en-venta-en-caballito-3-ambientes--10831724
3,250000,19000,"91,77",3,2,25,"Cuba 2600, Piso 5",Belgrano,,Piso Departamento 4 amb. c/cochera y balcones cerca subte y plaza Alberti excelente estado,/departamento-en-venta-en-belgrano-4-ambientes--10942576
4,70000,8676,23,0,1,40,Av del Libertador al 700, Barrio Norte,Recoleta,Av. del Libertador y Libertad - IMPECABLE. APTO PROF. SUPER LUMINOSO PISO ALTO,/departamento-en-venta-en-recoleta-1-ambiente--9671847
5,79000,12000,28,0,1,10,Sanchez de Bustamante 1100, Barrio Norte,Recoleta,Hermoso monoambiente en venta en Recoleta,/departamento-en-venta-en-recoleta-1-ambiente--11065462
6,90000,NaN,35,0,,,"Paraguay 2900, Piso 4", Barrio Norte,Recoleta,Departamento en venta en Recoleta,/departamento-en-venta-en-recoleta-1-ambiente--11346474
7,95000,1800,41,1,1,35,"Ciudad De La Paz 2200, Piso 4",Belgrano,,EXCELENTE 2 AMBIENTES 41 M2 TOTALES LUMINOSO Y HERMOSA UBICACION,/departamento-en-venta-en-belgrano-2-ambientes--5521831
8,220000,NaN,85,2,2,,Salvador M del Carril 2276,Villa Pueyrredon,,En Venta. Excelente Semipiso a Estrenar,/departamento-en-venta-en-villa-pueyrredon-3-ambientes--6344031
9,395000,NaN,112,3,2,0,Doblas y Bonifacio,Caballito,,"DOBLAS 848 3 ""C"" - 4 amb duplex a ESTRENAR  - Caballito",/departamento-en-venta-en-caballito-4-ambientes--9515319
10,87000,9000,40,1,1,,"Lezica 4300, Piso 4",Caballito,,RETASADO!! Depto 2 Ambientes - Excelente Ubicación,/departamento-en-venta-en-caballito-2-ambientes--10411133
11,199900,6500,93,3,1,52,Vidal 1900,Belgrano,,"Dpto. piso 4 amb con dependencia, bajas expensas!",/departamento-en-venta-en-belgrano-4-ambientes--10791184
12,320000,NaN,128,3,3,40,Vidal 2300,Belgrano,,"UNICO, DEPARTAMENTO TIPO DUPLEX EN BELGRANO c/ DEP c/PILETA",/departamento-en-venta-en-belgrano-4-ambientes--11339580
13,117192,NaN,"36,85",0,1,,"Franklin D Roosevelt 3100, Piso 1",Belgrano,,Palacio Roccataglita,/departamento-en-venta-en-belgrano--8915340
14,113000,NaN,44,1,1,0,Avellaneda 144,Caballito,,Avellaneda 144 8 ºB Departamento de 2 amb c/dos baños a estrenar!!!,/departamento-en-venta-en-caballito-2-ambientes--10920216
15,205000,15600,84,3,2,50,"Vicente Lopez 2200, Piso 5", Barrio Norte,Recoleta,Dueño Vende. Departamento en Recoleta. Frente. 84 mts.,/departamento-en-venta-en-recoleta-4-ambientes--8495201
16,135000,NaN,36,1,1,,"Thames 2400, Piso 2",Palermo,,MAISON THAMES,/departamento-en-venta-en-palermo--5115544
17,89710,NaN,41,1,1,,Asamblea al 1600,Caballito,,"Departamento 2 Ambientes con Balcón, Edificio de Categoria con mas de 18 Amenities",/departamento-en-venta-en-caballito-2-ambientes--9044629
18,99000,NaN,33,0,1,,Roosevelt 2100,Belgrano,,"Departamento  en Venta ubicado en Belgrano, Capital Federal - NUN3168_LP176033_1",/departamento-en-venta-en-belgrano-1-ambiente--5791264
19,149500,7500,65,2,1,55,"Yerbal 500, Piso 7",Caballito,,Inmaculado - 73 m2 con balcon - 3 ambientes comodos,/departamento-en-venta-en-caballito-3-ambientes--9009098
0,380000,6000,86,2,1,0,Cantilo al 4200,Villa Devoto,,Departamento 3 ambientes balcón al frente terraza 2 cocheras. Villa Devoto.,/departamento-en-venta-en-villa-devoto-3-ambientes--11323101
1,590000,21000,390,4,5,30,Segurola y Habana,Villa Devoto,,Venta Piso de Categoría - 5 Ambientes- 2 Cocheras- Baulera - Segurola y Habana.,/departamento-en-venta-en-villa-devoto-5-ambientes--10837867
2,122000,NaN,75,2,2,20,Pareja 4600,Villa Devoto,,Impec! ESTILO CASA! T/ luz y sol! Terr c/parr propia! Excel distrib! T/a nuevo! SIN EXPENSAS! OPORT!,/departamento-en-venta-en-villa-devoto-3-ambientes--11285750
3,218000,4000,120,2,2,6,Pedro Moran 5050,Villa Devoto,,Excelente Dúplex 3 Amb. a Estrenar - Frente - Balcón - Terraza Propia y Cochera,/departamento-en-venta-en-villa-devoto-3-ambientes--11219538
